id,city,state,location,year,city_latitude,city_longitude,report_link
2490,Lansing,MI,"Lansing, MI",2019,42.74380010040131,-84.57670843373519,http://www.nuforc.org/webreports/145/S145848.html
2491,Salinas,CA,"Salinas, CA",2019,36.68852457627128,-121.62845480225972,http://www.nuforc.org/webreports/145/S145745.html
2492,Newington,CT,"Newington, CT",2019,41.68571181818171,-72.73113181818192,http://www.nuforc.org/webreports/145/S145838.html
2493,Centerville,GA,"Centerville, GA",2019,32.636500000000005,-83.6649,http://www.nuforc.org/webreports/145/S145785.html
2494,Orlando,FL,"Orlando, FL",2019,28.51924669797446,-81.35409597886726,http://www.nuforc.org/webreports/145/S145771.html
2495,Alexandria,VA,"Alexandria, VA",2019,38.798958214042806,-77.09513265167011,http://www.nuforc.org/webreports/145/S145842.html
2496,Stroudsburg,PA,"Stroudsburg, PA",2019,40.95879999999992,-75.30059999999985,http://www.nuforc.org/webreports/145/S145750.html
2497,Orlando,FL,"Orlando, FL",2019,28.51924669797446,-81.35409597886726,http://www.nuforc.org/webreports/145/S145845.html
2498,Bakersfield,CA,"Bakersfield, CA",2019,35.34399793103438,-119.04089261083674,http://www.nuforc.org/webreports/145/S145732.html
2499,Kingwood,TX,"Kingwood, TX",2019,30.0336,-95.261,http://www.nuforc.org/webreports/145/S145833.html
2500,Watsonville,CA,"Watsonville, CA",2019,36.95027518796997,-121.72474210526327,http://www.nuforc.org/webreports/145/S145837.html
2501,Sparland,IL,"Sparland, IL",2019,41.0316,-89.5072,http://www.nuforc.org/webreports/145/S145729.html
2502,Queen Creek,AZ,"Queen Creek, AZ",2019,33.24702000000007,-111.6332933333332,http://www.nuforc.org/webreports/145/S145741.html
2503,Tucson,AZ,"Tucson, AZ",2019,32.25994075660238,-110.92754232690946,http://www.nuforc.org/webreports/145/S145749.html
2504,North Myrtle Beach,SC,"North Myrtle Beach, SC",2019,33.83166000000003,-78.65013000000003,http://www.nuforc.org/webreports/145/S145753.html
2505,Wesley Chapel,FL,"Wesley Chapel, FL",2019,28.2397,-82.32790000000011,http://www.nuforc.org/webreports/145/S145728.html
2506,Greensboro,NC,"Greensboro, NC",2019,36.076963026165934,-79.8158138794089,http://www.nuforc.org/webreports/145/S145765.html
2507,Virginia Beach,VA,"Virginia Beach, VA",2019,36.83730134271098,-76.06194814577877,http://www.nuforc.org/webreports/145/S145735.html
2508,Virginia Beach,VA,"Virginia Beach, VA",2019,36.83730134271098,-76.06194814577877,http://www.nuforc.org/webreports/145/S145736.html
2509,Minot,ND,"Minot, ND",2019,48.18889431818195,-101.3348903409089,http://www.nuforc.org/webreports/145/S145730.html
2510,Minot,ND,"Minot, ND",2019,48.18889431818195,-101.3348903409089,http://www.nuforc.org/webreports/145/S145742.html
2511,Boise,ID,"Boise, ID",2019,43.6144452015356,-116.244678023033,http://www.nuforc.org/webreports/145/S145839.html
2512,Saint Francis,MN,"Saint Francis, MN",2019,45.42430000000001,-93.4292,http://www.nuforc.org/webreports/145/S145739.html
2513,Joplin,MO,"Joplin, MO",2019,37.07995251798558,-94.4968395683453,http://www.nuforc.org/webreports/145/S145851.html
2514,Eureka,CA,"Eureka, CA",2019,40.76192392638043,-124.1355705521471,http://www.nuforc.org/webreports/145/S145738.html
2515,Jamaica,NY,"Jamaica, NY",2019,40.69090623441382,-73.79636733167084,http://www.nuforc.org/webreports/145/S145731.html
2516,Oklahoma City,OK,"Oklahoma City, OK",2019,35.471861779142536,-97.52630349693165,http://www.nuforc.org/webreports/145/S145757.html
2517,Oklahoma City,OK,"Oklahoma City, OK",2019,35.471861779142536,-97.52630349693165,http://www.nuforc.org/webreports/145/S145759.html
2518,Whittier,CA,"Whittier, CA",2019,33.96301605839416,-118.0281332116786,http://www.nuforc.org/webreports/145/S145747.html
